Year,Category,Nominee,Film,Winner,Type
1975,Best Director - Motion Picture,Stanley Kubrick,Barry Lyndon,False,Golden Globe
1975,Best Director - Motion Picture,Sidney Lumet,Dog Day Afternoon,False,Golden Globe
1975,Best Director - Motion Picture,Steven Spielberg,Jaws,False,Golden Globe
1976,Best Director - Motion Picture,Sidney Lumet,Network,True,Golden Globe
1976,Best Director - Motion Picture,Hal Ashby,Bound for Glory,False,Golden Globe
1976,Best Director - Motion Picture,John G. Avildsen,Rocky,False,Golden Globe
1976,Best Director - Motion Picture,Alan J. Pakula,All The President's Men,False,Golden Globe
1976,Best Director - Motion Picture,John Schlesinger,Marathon Man,False,Golden Globe
1977,Best Director - Motion Picture,Herbert Ross,"Turning Point, The",True,Golden Globe
1977,Best Director - Motion Picture,Woody Allen,Annie Hall,False,Golden Globe
1977,Best Director - Motion Picture,George Lucas,Star Wars: Episode IV - A New Hope,False,Golden Globe
1977,Best Director - Motion Picture,Steven Spielberg,Close Encounters of the Third Kind,False,Golden Globe
1977,Best Director - Motion Picture,Fred Zinnemann,Julia,False,Golden Globe
1978,Best Director - Motion Picture,Michael Cimino,"Deer Hunter, The",True,Golden Globe
1978,Best Director - Motion Picture,Woody Allen,Interiors,False,Golden Globe
1978,Best Director - Motion Picture,Hal Ashby,Coming Home,False,Golden Globe
1978,Best Director - Motion Picture,Terrence Malick,Days of Heaven,False,Golden Globe
1978,Best Director - Motion Picture,Paul Mazursky,"Unmarried Woman, An",False,Golden Globe
1978,Best Director - Motion Picture,Alan Parker,Midnight Express,False,Golden Globe
1979,Best Director - Motion Picture,Francis Ford Coppola,Apocalypse Now,True,Golden Globe
1979,Best Director - Motion Picture,Hal Ashby,Being There,False,Golden Globe
1979,Best Director - Motion Picture,Robert Benton,Kramer vs. Kramer,False,Golden Globe
1979,Best Director - Motion Picture,James Bridges,"China Syndrome, The",False,Golden Globe
1979,Best Director - Motion Picture,Peter Yates,Breaking Away,False,Golden Globe
1980,Best Director - Motion Picture,Robert Redford,Ordinary People,True,Golden Globe
1980,Best Director - Motion Picture,Martin Scorsese,Raging Bull,False,Golden Globe
1980,Best Director - Motion Picture,David Lynch,"Elephant Man, The",False,Golden Globe
1980,Best Director - Motion Picture,Roman Polanski,Tess,False,Golden Globe
1980,Best Director - Motion Picture,Richard Rush,"Stunt Man, The",False,Golden Globe
1981,Best Director - Motion Picture,Warren Beatty,Reds,True,Golden Globe
1981,Best Director - Motion Picture,Mark Rydell,On Golden Pond,False,Golden Globe
1981,Best Director - Motion Picture,Steven Spielberg,Raiders of the Lost Ark,False,Golden Globe
1981,Best Director - Motion Picture,Milos Forman,Ragtime,False,Golden Globe
1981,Best Director - Motion Picture,Sidney Lumet,Prince of the City,False,Golden Globe
1981,Best Director - Motion Picture,Louis Malle,Atlantic City,False,Golden Globe
1982,Best Director - Motion Picture,Richard Attenborough,Gandhi,True,Golden Globe
1982,Best Director - Motion Picture,Steven Spielberg,E. T. The Extra-Terrestrial,False,Golden Globe
1982,Best Director - Motion Picture,Constantin Costa-Gavras,Missing,False,Golden Globe
1982,Best Director - Motion Picture,Sidney Lumet,"Verdict, The",False,Golden Globe
1982,Best Director - Motion Picture,Sydney Pollack,Tootsie,False,Golden Globe
1983,Best Director - Motion Picture,Barbra Streisand,Yentl,True,Golden Globe
1983,Best Director - Motion Picture,Bruce Beresford,Tender Mercies,False,Golden Globe
1983,Best Director - Motion Picture,Ingmar Bergman,Fanny & Alexander,False,Golden Globe
1983,Best Director - Motion Picture,James L. Brooks,Terms of Endearment,False,Golden Globe
1983,Best Director - Motion Picture,Mike Nichols,Silkwood,False,Golden Globe
1983,Best Director - Motion Picture,Peter Yates,The Dresser,False,Golden Globe
1984,Best Director - Motion Picture,Milos Forman,Amadeus,True,Golden Globe
1984,Best Director - Motion Picture,Francis Ford Coppola,"Cotton Club, The",False,Golden Globe
1984,Best Director - Motion Picture,Roland Joffé,"Killing Fields, The",False,Golden Globe
1984,Best Director - Motion Picture,David Lean,"Passage to India, A",False,Golden Globe
1984,Best Director - Motion Picture,Sergio Leone,Once Upon a Time in America,False,Golden Globe
1985,Best Director - Motion Picture,John Huston,Prizzi's Honor,True,Golden Globe
1985,Best Director - Motion Picture,Richard Attenborough,"Chorus Line: The Movie, A",False,Golden Globe
1985,Best Director - Motion Picture,Sydney Pollack,Out of Africa,False,Golden Globe
1985,Best Director - Motion Picture,Steven Spielberg,"Color Purple, The",False,Golden Globe
1985,Best Director - Motion Picture,Peter Weir,Witness,False,Golden Globe
1986,Best Director - Motion Picture,Oliver Stone,Platoon,True,Golden Globe
1986,Best Director - Motion Picture,Rob Reiner,Stand By Me,False,Golden Globe
1986,Best Director - Motion Picture,Woody Allen,Hannah and Her Sisters,False,Golden Globe
1986,Best Director - Motion Picture,James Ivory,"Room with a View, A",False,Golden Globe
1986,Best Director - Motion Picture,Roland Joffé,"Mission, The",False,Golden Globe
1987,Best Director - Motion Picture,Bernardo Bertolucci,"Last Emperor, The",True,Golden Globe
1987,Best Director - Motion Picture,Adrian Lyne,Fatal Attraction,False,Golden Globe
1987,Best Director - Motion Picture,Richard Attenborough,Cry Freedom,False,Golden Globe
1987,Best Director - Motion Picture,John Boorman,Hope and Glory,False,Golden Globe
1987,Best Director - Motion Picture,James L. Brooks,Broadcast News,False,Golden Globe
1988,Best Director - Motion Picture,Clint Eastwood,Bird,True,Golden Globe
1988,Best Director - Motion Picture,Barry Levinson,Rain Man,False,Golden Globe
1988,Best Director - Motion Picture,Sidney Lumet,Running on Empty,False,Golden Globe
1988,Best Director - Motion Picture,Mike Nichols,Working Girl,False,Golden Globe
1988,Best Director - Motion Picture,Alan Parker,Mississippi Burning,False,Golden Globe
1988,Best Director - Motion Picture,Fred Schepisi,"Cry in the Dark, A",False,Golden Globe
1989,Best Director - Motion Picture,Oliver Stone,Born on the Fourth of July,True,Golden Globe
1989,Best Director - Motion Picture,Spike Lee,Do The Right Thing,False,Golden Globe
1989,Best Director - Motion Picture,Rob Reiner,When Harry Met Sally,False,Golden Globe
1989,Best Director - Motion Picture,Peter Weir,Dead Poets Society,False,Golden Globe
1989,Best Director - Motion Picture,Edward Zwick,Glory,False,Golden Globe
1990,Best Director - Motion Picture,Kevin Costner,Dances with Wolves,True,Golden Globe
1990,Best Director - Motion Picture,Bernardo Bertolucci,"Sheltering Sky, The",False,Golden Globe
1990,Best Director - Motion Picture,Francis Ford Coppola,"Godfather Part III, The",False,Golden Globe
1990,Best Director - Motion Picture,Barbet Schroeder,Reversal of Fortune,False,Golden Globe
1990,Best Director - Motion Picture,Martin Scorsese,GoodFellas,False,Golden Globe
1991,Best Director - Motion Picture,Oliver Stone,JFK,True,Golden Globe
1991,Best Director - Motion Picture,Jonathan Demme,"Silence of the Lambs, The",False,Golden Globe
1991,Best Director - Motion Picture,Terry Gilliam,"Fisher King, The",False,Golden Globe
1991,Best Director - Motion Picture,Barry Levinson,Bugsy,False,Golden Globe
1991,Best Director - Motion Picture,Barbra Streisand,"Prince of Tides, The",False,Golden Globe
1992,Best Director - Motion Picture,Clint Eastwood,Unforgiven,True,Golden Globe
1992,Best Director - Motion Picture,Robert Altman,"Player, The",False,Golden Globe
1992,Best Director - Motion Picture,James Ivory,Howards End,False,Golden Globe
1992,Best Director - Motion Picture,Robert Redford,"River Runs Through It, A",False,Golden Globe
1992,Best Director - Motion Picture,Rob Reiner,"Few Good Men, A",False,Golden Globe
1993,Best Director - Motion Picture,Steven Spielberg,Schindler's List,True,Golden Globe
1993,Best Director - Motion Picture,Jane Campion,The Piano,False,Golden Globe
1993,Best Director - Motion Picture,Andrew Davis,"Fugitive, The",False,Golden Globe
1993,Best Director - Motion Picture,James Ivory," Remains of the Day, The",False,Golden Globe
1993,Best Director - Motion Picture,Martin Scorsese,"Age of Innocence, The",False,Golden Globe
1994,Best Director - Motion Picture,Robert Zemeckis,Forrest Gump,True,Golden Globe
1994,Best Director - Motion Picture,Edward Zwick,Legends of the Fall,False,Golden Globe
1994,Best Director - Motion Picture,Robert Redford,Quiz Show,False,Golden Globe
1994,Best Director - Motion Picture,Oliver Stone,Natural Born Killers,False,Golden Globe
1994,Best Director - Motion Picture,Quentin Tarantino,Pulp Fiction,False,Golden Globe
1995,Best Director - Motion Picture,Mel Gibson,Braveheart,True,Golden Globe
1995,Best Director - Motion Picture,Mike Figgis,Leaving Las Vegas,False,Golden Globe
1995,Best Director - Motion Picture,Ron Howard,Apollo 13,False,Golden Globe
1995,Best Director - Motion Picture,Ang Lee,Sense and Sensibility,False,Golden Globe
1995,Best Director - Motion Picture,Rob Reiner,"American President, The",False,Golden Globe
1995,Best Director - Motion Picture,Martin Scorsese,Casino,False,Golden Globe
1996,Best Director - Motion Picture,Milos Forman,"People vs. Larry Flynt, The",True,Golden Globe
1996,Best Director - Motion Picture,Joel Coen,Fargo,False,Golden Globe
1996,Best Director - Motion Picture,Scott Hicks,Shine,False,Golden Globe
1996,Best Director - Motion Picture,Anthony Minghella,The English Patient,False,Golden Globe
1996,Best Director - Motion Picture,Alan Parker,Evita,False,Golden Globe
1997,Best Director - Motion Picture,James Cameron,Titanic,True,Golden Globe
1997,Best Director - Motion Picture,Steven Spielberg,Amistad,False,Golden Globe
1997,Best Director - Motion Picture,James L. Brooks,As Good as It Gets,False,Golden Globe
1997,Best Director - Motion Picture,Curtis Hanson,L.A. Confidential,False,Golden Globe
1997,Best Director - Motion Picture,Jim Sheridan,"Boxer, The",False,Golden Globe
1998,Best Director - Motion Picture,Steven Spielberg,Saving Private Ryan,True,Golden Globe
1998,Best Director - Motion Picture,Shekhar Kapur,Elizabeth,False,Golden Globe
