Year,Award,Winner,Film,Nominee,Type
1959,Directing,False,The Diary of Anne Frank,George Stevens,Academy Award
1959,Directing,False,The Nun's Story,Fred Zinnemann,Academy Award
1959,Directing,False,Room at the Top,Jack Clayton,Academy Award
1959,Directing,False,Some Like It Hot,Billy Wilder,Academy Award
1960,Directing,True,The Apartment,Billy Wilder,Academy Award
1960,Directing,False,Never on Sunday,Jules Dassin,Academy Award
1960,Directing,False,Psycho,Alfred Hitchcock,Academy Award
1960,Directing,False,Sons and Lovers,Jack Cardiff,Academy Award
1960,Directing,False,The Sundowners,Fred Zinnemann,Academy Award
1961,Directing,False,The Guns of Navarone,J. Lee Thompson,Academy Award
1961,Directing,False,The Hustler,Robert Rossen,Academy Award
1961,Directing,False,Judgment at Nuremberg,Stanley Kramer,Academy Award
1961,Directing,False,La Dolce Vita,Federico Fellini,Academy Award
1961,Directing,True,West Side Story,"Robert Wise, Jerome Robbins",Academy Award
1962,Directing,False,David and Lisa,Frank Perry,Academy Award
1962,Directing,False,Divorce--Italian Style,Pietro Germi,Academy Award
1962,Directing,True,Lawrence of Arabia,David Lean,Academy Award
1962,Directing,False,The Miracle Worker,Arthur Penn,Academy Award
1962,Directing,False,To Kill a Mockingbird,Robert Mulligan,Academy Award
1963,Directing,False,America America,Elia Kazan,Academy Award
1963,Directing,False,The Cardinal,Otto Preminger,Academy Award
1963,Directing,False,Federico Fellini's 8-1/2,Federico Fellini,Academy Award
1963,Directing,False,Hud,Martin Ritt,Academy Award
1963,Directing,True,Tom Jones,Tony Richardson,Academy Award
1964,Directing,False,Becket,Peter Glenville,Academy Award
1964,Directing,False,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Academy Award
1964,Directing,False,Mary Poppins,Robert Stevenson,Academy Award
1964,Directing,True,My Fair Lady,George Cukor,Academy Award
1964,Directing,False,Zorba the Greek,Michael Cacoyannis,Academy Award
1965,Directing,False,The Collector,William Wyler,Academy Award
1965,Directing,False,Darling,John Schlesinger,Academy Award
1965,Directing,False,Doctor Zhivago,David Lean,Academy Award
1965,Directing,True,The Sound of Music,Robert Wise,Academy Award
1965,Directing,False,Woman in the Dunes,Hiroshi Teshigahara,Academy Award
1966,Directing,False,Blow-Up,Michelangelo Antonioni,Academy Award
1966,Directing,False,A Man and a Woman,Claude Lelouch,Academy Award
1966,Directing,True,A Man for All Seasons,Fred Zinnemann,Academy Award
1966,Directing,False,The Professionals,Richard Brooks,Academy Award
1966,Directing,False,Who's Afraid of Virginia Woolf?,Mike Nichols,Academy Award
1967,Directing,False,Bonnie and Clyde,Arthur Penn,Academy Award
1967,Directing,True,The Graduate,Mike Nichols,Academy Award
1967,Directing,False,Guess Who's Coming to Dinner,Stanley Kramer,Academy Award
1967,Directing,False,In Cold Blood,Richard Brooks,Academy Award
1967,Directing,False,In the Heat of the Night,Norman Jewison,Academy Award
1968,Directing,False,The Battle of Algiers,Gillo Pontecorvo,Academy Award
1968,Directing,False,The Lion in Winter,Anthony Harvey,Academy Award
1968,Directing,True,Oliver!,Carol Reed,Academy Award
1968,Directing,False,Romeo and Juliet,Franco Zeffirelli,Academy Award
1968,Directing,False,2001: A Space Odyssey,Stanley Kubrick,Academy Award
1969,Directing,False,Alice's Restaurant,Arthur Penn,Academy Award
1969,Directing,False,Butch Cassidy and the Sundance Kid,George Roy Hill,Academy Award
1969,Directing,True,Midnight Cowboy,John Schlesinger,Academy Award
1969,Directing,False,"They Shoot Horses, Don't They?",Sydney Pollack,Academy Award
1969,Directing,False,Z,Costa-Gavras,Academy Award
1970,Directing,False,Fellini Satyricon,Federico Fellini,Academy Award
1970,Directing,False,Love Story,Arthur Hiller,Academy Award
1970,Directing,True,MA*S*H,Robert Altman,Academy Award
1970,Directing,True,Patton,Franklin J. Schaffner,Academy Award
1970,Directing,False,Women in Love,Ken Russell,Academy Award
1971,Directing,False,A Clockwork Orange,Stanley Kubrick,Academy Award
1971,Directing,False,Fiddler on the Roof,Norman Jewison,Academy Award
1971,Directing,True,The French Connection,William Friedkin,Academy Award
1971,Directing,False,The Last Picture Show,Peter Bogdanovich,Academy Award
1971,Directing,False,Sunday Bloody Sunday,John Schlesinger,Academy Award
1972,Directing,True,Cabaret,Bob Fosse,Academy Award
1972,Directing,False,Deliverance,John Boorman,Academy Award
1972,Directing,False,The Emigrants,Jan Troell,Academy Award
1972,Directing,False,The Godfather,Francis Ford Coppola,Academy Award
1972,Directing,False,Sleuth,Joseph L. Mankiewicz,Academy Award
1973,Directing,False,American Graffiti,George Lucas,Academy Award
1973,Directing,False,Cries and Whispers,Ingmar Bergman,Academy Award
1973,Directing,False,The Exorcist,William Friedkin,Academy Award
1973,Directing,False,Last Tango in Paris,Bernardo Bertolucci,Academy Award
1973,Directing,True,The Sting,George Roy Hill,Academy Award
1974,Directing,False,Chinatown,Roman Polanski,Academy Award
1974,Directing,False,Day for Night,Francois Truffaut,Academy Award
1974,Directing,True,The Godfather Part II,Francis Ford Coppola,Academy Award
1974,Directing,False,Lenny,Bob Fosse,Academy Award
1974,Directing,False,A Woman under the Influence,John Cassavetes,Academy Award
1975,Directing,False,Amarcord,Federico Fellini,Academy Award
1975,Directing,False,Barry Lyndon,Stanley Kubrick,Academy Award
1975,Directing,False,Dog Day Afternoon,Sidney Lumet,Academy Award
1975,Directing,False,Nashville,Robert Altman,Academy Award
1975,Directing,True,One Flew over the Cuckoo's Nest,Milos Forman,Academy Award
1976,Directing,False,All the President's Men,Alan J. Pakula,Academy Award
1976,Directing,False,Face to Face,Ingmar Bergman,Academy Award
1976,Directing,False,Network,Sidney Lumet,Academy Award
1976,Directing,True,Rocky,John G. Avildsen,Academy Award
